caminho_relativo,classe,conjunto
Avulsion fracture/Test/000002_png.rf.c3e00ebc2db78bc94e644c3f6605dad0.jpg,Avulsion fracture,treino
Avulsion fracture/Test/13256_2019_2325_Fig1_HTML_png.rf.09368fddb2da3979a35a0cac6f45.jpg,Avulsion fracture,treino
Avulsion fracture/Test/13256_2019_2325_Fig1_HTML_png.rf.09368fddb2da3979a3e1e25a0cac6f45.jpg,Avulsion fracture,treino
Avulsion fracture/Test/1b62e6fbfbc5a2f70c6af413189cfc82_jpg.rf.2761e933cc6d206308877cccaf0642b2.jpg,Avulsion fracture,treino
Avulsion fracture/Test/220px-Avulsion_fracture_of_tibial_tuberosity2C_annotated_jpg.rf.aac7ac1f6ad2f7a822ee729f39b750af.jpg,Avulsion fracture,treino
Avulsion fracture/Test/31446tn_jpg.rf.fd1466bd9c9a7d604dc3e782f87b84d6.jpg,Avulsion fracture,treino
Avulsion fracture/Test/389382_jpg.rf.8cb98ee798766a2d3f6a76279ba5d0d9.jpg,Avulsion fracture,treino
Avulsion fracture/Test/5c7fec45769db28bdd107336f19004336689a4fb804b37af3096741f2879ff02_jumbo_jpeg.rf.68a4d14a09ed5baf1f8e1c1957ee5a01.jpg,Avulsion fracture,treino
Avulsion fracture/Test/60683ca7a8a5848feda86d15_acl-avulsion-fracture-1_jpg.rf.17e17d797643e92164cc9825dc530399.jpg,Avulsion fracture,treino
Avulsion fracture/Test/9896089d1b31b0ba0158dc33122899_jumbo_jpeg.rf.d5e6b871460129728d2506e55476d496.jpg,Avulsion fracture,treino
Avulsion fracture/Test/9dcddacffaff8689cc1e9cedbe76a5_jumbo_jpeg.rf.7259a238161cf03dca23a3dd5369e0b1.jpg,Avulsion fracture,treino
Avulsion fracture/Test/avulsionlessertrochanter01jakpelvis15yo_jpg.rf.075c733923f27bd4611acf064a41a4e3.jpg,Avulsion fracture,treino
Avulsion fracture/Train/2-Figure1-1_png.rf.d9c1a18069444475adbb477d440ce0e9.jpg,Avulsion fracture,treino
Avulsion fracture/Train/35765-galleyfig1a_jpeg.rf.4e4f1d462790773a110b4171d25a.jpg,Avulsion fracture,treino
Avulsion fracture/Train/35765-galleyfig1a_jpeg.rf90773a110b4171d25a.jpg,Avulsion fracture,treino
Avulsion fracture/Train/697306b5c3755dd70645ac1a714fce3b_jpg.rf.21b53660b2fd76db08a98e9dad5d8d4f.jpg,Avulsion fracture,treino
Avulsion fracture/Train/697306b5c3755dd70645acfce3b_jpg.rf.1b53660b2fd76db08a98e9dad5d8d4f.jpg,Avulsion fracture,treino
Avulsion fracture/Train/94f6a-pclavulsion1a_png.rf.621b9fb0ecda5666f169e06b88d35b9e.jpg,Avulsion fracture,treino
Avulsion fracture/Train/F1-large2_jpg.rf.c2d3078f808a8a85ce1563a8b857820d.jpg,Avulsion fracture,treino
Avulsion fracture/Train/F1-large4_jpg.rf.4252b8d03c32b5e5299279de5619cc.jpg,Avulsion fracture,treino
Avulsion fracture/Train/F1-large4_jpg.rf.4252b8d03c32b5e529927f9de5619cc.jpg,Avulsion fracture,treino
Avulsion fracture/Train/F1-large_jpg.rf.a6f3a67ddd8ce10a037193d8121b5bea.jpg,Avulsion fracture,treino
Avulsion fracture/Train/FTCjoRnWQAMETYF_jpg.rf.662d6aa8680d248cac375a7256e0fa3f.jpg,Avulsion fracture,treino
Avulsion fracture/Train/Inkedcalcanealavulsionfx_png.rf.ff0595970365ef9d194318f215ccbc26_LI.jpg,Avulsion fracture,treino
Avulsion fracture/Train/Left-knee-AP-and-lateral-radiographs-showing-avulsion-fracture-of-the-tibial-tuberosity_jpg.rf.b131781339048c6fe26875bcef812a2.jpg,Avulsion fracture,treino
Avulsion fracture/Train/Left_lateral_malleolus_avulsion_fracture_jpg.rf.83d50e146146ab622ad5fa95e5d3d2f5.jpg,Avulsion fracture,treino
Avulsion fracture/Train/MalletFinger-PNG_jpg.rf.6ba864d6512079c3aa42b86feeb424d1.jpg,Avulsion fracture,treino
Avulsion fracture/Train/Pelvic_2_jpg.rf.f1d594abda0640caa3c3a07c99091f7e.jpg,Avulsion fracture,treino
Avulsion fracture/Train/Pelvic_4_jpg.rf.ffd15f48b6fb3dbd95c59e02c6ef946b.jpg,Avulsion fracture,treino
